workId,axisId,state,value,confidence,refs,observation,limitation
work-017446dd1a9039d9839b,artRealism,known,0,0.95,p010-p015,Enlarged child heads and eyes plus simplified limbs and schematic figures repeatedly match the strong-deformation anchor 0.,The judgment is bounded to six first-episode internal pages and does not generalize beyond the sampled entry scope.
work-017446dd1a9039d9839b,artDensity,known,1,0.87,p010-p015,Broad white dialogue fields dominate while the street and shoe-locker scenes add enough environmental linework to place the sample between sparse 0 and balanced 2.,Density varies by scene and the sample stops at the six-page threshold.
work-017446dd1a9039d9839b,visualSoftness,known,4,0.94,p010-p015,Rounded faces and bodies with clean light contours and minimal hatching repeatedly match the soft and polished anchor 4.,The conclusion applies to the selected first-episode pages only.
work-017446dd1a9039d9839b,motionImpact,unknown,,,p010-p015,Walking and small gestures are visible but no exact bounded continuous start-development and impact-end action sequence is preserved.,Unknown records an unmet sequence gate and is not a low motion value.
work-02d5d329c9ef85e481cb,artRealism,known,2,0.86,reader-step-05;reader-step-06;reader-step-07,Figures are caricatured yet anatomically recognizable and the classroom shops and village streets use observed perspective that fits ordinary stylization 2.,The digital viewer exposes deterministic step refs rather than printed folios and only six pages were sampled.
work-02d5d329c9ef85e481cb,artDensity,known,4,0.95,reader-step-05;reader-step-06;reader-step-07,Crowds wooden interiors shop displays streets objects and repeated hatching keep line and information density high across all three spreads.,The value is sample-bounded rather than a claim about every volume-one page.
work-02d5d329c9ef85e481cb,visualSoftness,known,0,0.94,reader-step-05;reader-step-06;reader-step-07,Heavy black masses coarse hatching angular caricature and forceful contours repeatedly match the rough anchor 0.,Color visible in part of one spread was not used to infer softness beyond the drawn contours and rendering.
work-02d5d329c9ef85e481cb,motionImpact,unknown,,,reader-step-05;reader-step-06;reader-step-07,The sampled gags show impact and aftermath images but do not preserve an unambiguous initiating action through continuous development to a resolved endpoint.,Unknown is not a low score and can reopen only with a more completely bounded sequence.
work-089947c5303024841fef,artRealism,known,2,0.90,p006-p007;p010-p013,Proportionate bodies and recognizable offices coexist with stylized faces and comic deformation so ordinary manga stylization 2 is the supported anchor.,The six pages cover two contexts and do not establish later-volume rendering.
work-089947c5303024841fef,artDensity,known,2,0.88,p006-p007;p010-p013,Panel information office backgrounds and screentone are balanced with open close-ups and omitted backgrounds which matches anchor 2.,The selected page groups are disjoint and density is assessed only across those six pages.
work-089947c5303024841fef,visualSoftness,known,2,0.86,p006-p007;p010-p013,Clean polished faces and hair are offset by angular comic expressions and firm contours leaving the complete sample at neutral anchor 2.,Neither the polished lead figures nor the caricatured supporting faces were treated as the whole sample alone.
work-089947c5303024841fef,motionImpact,unknown,,,p006-p007;p010-p013,The kick is already at impact in p006 and the remaining page group is discontinuous so no exact start-development and impact-end sequence is verified.,Unknown is not a restrained-motion score.
work-0e036724913c69bb937a,artRealism,known,3,0.91,p004-p009,Grounded anatomy aging faces clothing and the snowy settlement exceed ordinary stylization while visible manga facial construction keeps the sample below fully realistic 4.,Value 3 is the exact midpoint between anchors 2 and 4 for these six opening pages.
work-0e036724913c69bb937a,artDensity,known,3,0.88,p004-p009,Landscape architecture fabric skin and snow hatching repeatedly exceed balanced density but several close-ups retain broad open fields so density is not uniformly anchor 4.,Value 3 is limited to the sampled opening pages and reflects the observed dense-to-open mix.
work-0e036724913c69bb937a,visualSoftness,known,1,0.89,p004-p009,Dry hatching angular faces and rough surface texture dominate while some clean young faces keep the sample between rough 0 and neutral 2.,Value 1 is used only because both adjacent anchors are visibly represented.
work-0e036724913c69bb937a,motionImpact,unknown,,,p004-p009,Amputation consequences and pose changes are shown but the selected pages do not preserve one exact continuous action from initiation through impact to resolved end.,Unknown is not a low motion value and no synopsis inference was used.
work-1012948f5de799831da4,artRealism,unknown,,,official-product-only,No internal page pixel was available from the resolved official volume-one product page.,Unknown-ready: edition identity is resolved but readable internal pages are 0 and unknown is not low.
work-1012948f5de799831da4,artDensity,unknown,,,official-product-only,No internal page pixel was available from the resolved official volume-one product page.,Unknown-ready: edition identity is resolved but readable internal pages are 0 and unknown is not low.
work-1012948f5de799831da4,visualSoftness,unknown,,,official-product-only,No internal page pixel was available from the resolved official volume-one product page.,Unknown-ready: edition identity is resolved but readable internal pages are 0 and unknown is not low.
work-1012948f5de799831da4,motionImpact,unknown,,,official-product-only,No internal page sequence was available from the resolved official volume-one product page.,Unknown-ready: no motion sequence can be tested from 0 internal pages and unknown is not low.
work-1088a1dc00a3b0d22201,artRealism,known,4,0.96,p010-p015,Human anatomy military gear carrier architecture and spatial perspective are consistently reality-oriented and match anchor 4.,The conclusion is bounded to six official internal pages from the standard single-volume edition.
work-1088a1dc00a3b0d22201,artDensity,known,4,0.98,p010-p015,Carrier machinery crowds corpses equipment debris and dense hatching sustain very high line background and information density across all three spreads.,The sample is short but density remains consistently high in each selected context.
work-1088a1dc00a3b0d22201,visualSoftness,known,0,0.97,p010-p015,Hard angular contours gritty hatching severe contrast and graphic surface damage repeatedly match rough anchor 0.,The value describes rendering style rather than narrative severity.
work-1088a1dc00a3b0d22201,motionImpact,unknown,,,p010-p015,The bridge impact appears after a quiet establishing image and the following pages show response and aftermath without the missing continuous development.,Unknown is not low and the striking impact image alone cannot pass the exact sequence gate.
work-19a26f01512166856a6a,artRealism,known,2,0.90,p016-p021,Classic stylized and caricatured figures coexist with credible machinery interiors and architecture which supports ordinary stylization anchor 2.,The result is bounded to six digital volume-one pages.
work-19a26f01512166856a6a,artDensity,known,3,0.89,p016-p021,Many panels plus machinery snow architecture and textured black fields exceed balanced density while open face panels keep the sample below consistently high 4.,Value 3 is the observed midpoint between anchors 2 and 4 in this sample.
work-19a26f01512166856a6a,visualSoftness,known,3,0.87,p016-p021,Flowing hair delicate facial lines and elegant lead-character contours lean soft while caricature machinery and heavy blacks prevent full anchor 4.,Value 3 is between neutral 2 and soft-polished 4 rather than a genre inference.
work-19a26f01512166856a6a,motionImpact,unknown,,,p016-p021,The device firing image lacks a visually resolved impact endpoint and the surrounding dialogue and location change do not complete one bounded continuous action.,Unknown is not a low motion value.
work-1e27731b880d0d9012f8,artRealism,known,3,0.89,p018-p023,Proportionate bodies school architecture and stable perspective exceed ordinary stylization while visibly idealized faces keep the sample below unqualified realistic 4.,Value 3 is the exact 2-to-4 midpoint for the inspected pages.
work-1e27731b880d0d9012f8,artDensity,known,2,0.91,p018-p023,Classroom corridor stair and washroom details are balanced with open dialogue and face panels which matches anchor 2.,The six-page sample covers three contexts but is not a census of volume one.
work-1e27731b880d0d9012f8,visualSoftness,known,4,0.90,p018-p023,Thin controlled contours flowing hair gentle facial construction and consistently elegant figure treatment match soft-polished anchor 4.,Dark uniforms add contrast but do not introduce rough or angular rendering across the sample.
work-1e27731b880d0d9012f8,motionImpact,known,2,0.82,p020,Printed p020 preserves approach to the landing then bucket displacement and contact followed by the struck character clutching her head which forms an exact bounded ordinary-impact sequence.,This is one short school comedy collision rather than repeated action and confidence is lower than for the static axes.
work-207bb1ca28b7472fbe1d,artRealism,known,2,0.89,p018-p023,Recognizable adult anatomy vehicles animals and domestic space coexist with strongly expressive child and face caricature which supports ordinary stylization 2.,The value is bounded to six opening pages across three contexts.
work-207bb1ca28b7472fbe1d,artDensity,known,4,0.94,p018-p023,Crowded paneling detailed interiors vehicle animal landscape textures motion lines and sound effects keep visual information high across the sample.,Lettering itself was not counted as density and the conclusion remains page-sample bounded.
work-207bb1ca28b7472fbe1d,visualSoftness,known,0,0.93,p018-p023,Bold angular faces hard black forms coarse texture and forceful action contours repeatedly match rough anchor 0.,Rounded comic expressions do not outweigh the dominant hard rendering.
work-207bb1ca28b7472fbe1d,motionImpact,known,4,0.91,p023,Printed p023 begins with the two-step strike setup then shows the hand transition and accelerating swing before a large debris-filled impact endpoint with converging speed lines.,This value is bounded to one exact demonstration sequence and does not claim that every scene sustains anchor 4.
work-23851cd7ccf1d0c676cc,artRealism,known,3,0.93,reader-step-12;reader-step-14;reader-step-18,Natural adult anatomy uniforms vehicles and city or cleanup environments lean realistic while expressive manga faces keep the sample between anchors 2 and 4.,The official reader exposes deterministic step refs rather than printed folios and the groups are discontinuous.
work-23851cd7ccf1d0c676cc,artDensity,known,4,0.96,reader-step-12;reader-step-14;reader-step-18,Urban structures crowds equipment protective suits monster tissue debris and layered hatching sustain high line and information density.,The judgment covers the exact six sampled pages rather than the whole volume.
work-23851cd7ccf1d0c676cc,visualSoftness,known,1,0.91,reader-step-12;reader-step-14;reader-step-18,Clean contours are repeatedly cut by angular faces gritty debris crosshatching and hard monster or equipment surfaces placing the sample between rough 0 and neutral 2.,Value 1 reflects both adjacent anchors and is not inferred from the work's action genre.
work-23851cd7ccf1d0c676cc,motionImpact,unknown,,,reader-step-12;reader-step-14;reader-step-18,The selected reader steps are discontinuous and show transit cleanup and isolated tool contact without one exact bounded start-development and impact-end action.,Unknown is not a low motion value.
